x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-251.969,-18.1417,1.01135,-4.24827e-21,-7.65823e-21,-2.05842e-19,1.01135,-4.07557e-19,2.1818e-19,-2.14525e-19,1.01135
-251.969,-14.1102,1.01126,-4.04356e-21,-7.44975e-21,-1.99861e-19,1.01126,-3.95746e-19,2.08326e-19,-2.08106e-19,1.01126
-251.969,-10.0787,1.01118,-3.84886e-21,-7.2442e-21,-1.93993e-19,1.01118,-3.84154e-19,1.98905e-19,-2.01819e-19,1.01118
-251.969,-6.04724,1.01109,-3.66375e-21,-7.04184e-21,-1.88241e-19,1.01109,-3.72789e-19,1.89902e-19,-1.9567e-19,1.01109
-251.969,-2.01575,1.01101,-3.48776e-21,-6.8429e-21,-1.82609e-19,1.01101,-3.61659e-19,1.81301e-19,-1.89661e-19,1.01101
-251.969,2.01575,1.01092,-3.32047e-21,-6.64752e-21,-1.771e-19,1.01092,-3.50771e-19,1.73087e-19,-1.83793e-19,1.01092
-251.969,6.04724,1.01084,-3.16147e-21,-6.45584e-21,-1.71717e-19,1.01084,-3.40128e-19,1.65244e-19,-1.78069e-19,1.01084
-251.969,10.0787,1.01075,-3.01038e-21,-6.26802e-21,-1.6646e-19,1.01075,-3.29735e-19,1.57756e-19,-1.72488e-19,1.01075
-251.969,14.1102,1.01067,-2.8668e-21,-6.08411e-21,-1.61332e-19,1.01067,-3.19593e-19,1.5061e-19,-1.67053e-19,1.01067
-251.969,18.1417,1.01059,-2.73038e-21,-5.90422e-21,-1.56332e-19,1.01059,-3.09705e-19,1.43791e-19,-1.61761e-19,1.01059
-251.969,22.1732,1.01051,-2.60077e-21,-5.72842e-21,-1.51461e-19,1.01051,-3.00071e-19,1.37286e-19,-1.56614e-19,1.01051
-251.969,26.2047,1.01043,-2.47763e-21,-5.55669e-21,-1.46719e-19,1.01043,-2.9069e-19,1.31081e-19,-1.51609e-19,1.01043
-251.969,30.2362,1.01035,-2.36064e-21,-5.38914e-21,-1.42106e-19,1.01035,-2.81562e-19,1.25162e-19,-1.46747e-19,1.01035
-251.969,34.2677,1.01027,-2.24949e-21,-5.22574e-21,-1.37619e-19,1.01027,-2.72685e-19,1.19518e-19,-1.42024e-19,1.01027
-251.969,38.2992,1.01019,-2.1439e-21,-5.06647e-21,-1.33259e-19,1.01019,-2.64056e-19,1.14136e-19,-1.3744e-19,1.01019
-251.969,42.3307,1.01011,-2.04356e-21,-4.91137e-21,-1.29023e-19,1.01011,-2.55674e-19,1.09005e-19,-1.32992e-19,1.01011
-251.969,46.3622,1.01004,-1.94825e-21,-4.76038e-21,-1.2491e-19,1.01004,-2.47534e-19,1.04112e-19,-1.28678e-19,1.01004
-251.969,50.3937,1.00996,-1.85767e-21,-4.61347e-21,-1.20919e-19,1.00996,-2.39634e-19,9.94487e-20,-1.24496e-19,1.00996
-251.969,54.4252,1.00988,-1.7716e-21,-4.47063e-21,-1.17046e-19,1.00988,-2.3197e-19,9.50029e-20,-1.20444e-19,1.00988
-251.969,58.4567,1.00981,-1.68983e-21,-4.33179e-21,-1.13291e-19,1.00981,-2.24536e-19,9.0765e-20,-1.16518e-19,1.00981
-251.969,62.4882,1.00973,-1.61211e-21,-4.1969e-21,-1.09651e-19,1.00973,-2.1733e-19,8.67254e-20,-1.12715e-19,1.00973
-251.969,66.5197,1.00966,-1.53825e-21,-4.06592e-21,-1.06123e-19,1.00966,-2.10346e-19,8.28748e-20,-1.09034e-19,1.00966
-251.969,70.5512,1.00959,-1.46802e-21,-3.93873e-21,-1.02706e-19,1.00959,-2.03579e-19,7.92046e-20,-1.05471e-19,1.00959
-251.969,74.5827,1.00952,-1.40128e-21,-3.81532e-21,-9.93956e-20,1.00952,-1.97025e-19,7.5706e-20,-1.02023e-19,1.00952
-251.969,78.6142,1.00945,-1.33783e-21,-3.69562e-21,-9.61906e-20,1.00945,-1.90679e-19,7.23711e-20,-9.86875e-20,1.00945
