x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
-251.969,-14.1102,1.50105e-10,4.0663e-15,7.49164e-15,2.00985e-13,-2.73466e-12,3.97972e-13,4.22864e-10,2.09276e-13,1.08853e-11
-251.969,-10.0787,1.46699e-10,3.87034e-15,7.28462e-15,1.95075e-13,-9.96267e-13,3.86298e-13,4.20073e-10,2.02946e-13,8.96327e-12
-251.969,-6.04724,1.43369e-10,3.68403e-15,7.08083e-15,1.89283e-13,6.40893e-13,3.74853e-13,4.17184e-10,1.96754e-13,7.14644e-12
-251.969,-2.01575,1.40112e-10,3.50692e-15,6.8805e-15,1.83612e-13,2.18089e-12,3.63647e-13,4.14206e-10,1.90703e-13,5.43066e-12
-251.969,2.01575,1.36929e-10,3.33858e-15,6.68377e-15,1.78066e-13,3.62774e-12,3.52683e-13,4.11144e-10,1.84795e-13,3.81189e-12
-251.969,6.04724,1.33817e-10,3.17858e-15,6.49077e-15,1.72646e-13,4.98537e-12,3.41968e-13,4.08009e-10,1.79032e-13,2.28616e-12
-251.969,10.0787,1.30777e-10,3.02654e-15,6.30167e-15,1.67354e-13,6.25766e-12,3.31505e-13,4.04805e-10,1.73415e-13,8.49553e-13
-251.969,14.1102,1.27807e-10,2.88208e-15,6.11653e-15,1.62191e-13,7.44837e-12,3.21296e-13,4.01541e-10,1.67943e-13,-5.01745e-13
-251.969,18.1417,1.24907e-10,2.74482e-15,5.93544e-15,1.57159e-13,8.56117e-12,3.11343e-13,3.98222e-10,1.62617e-13,-1.77146e-12
-251.969,22.1732,1.22074e-10,2.61442e-15,5.75847e-15,1.52256e-13,9.59965e-12,3.01645e-13,3.94855e-10,1.57436e-13,-2.96323e-12
-251.969,26.2047,1.19309e-10,2.49053e-15,5.58562e-15,1.47483e-13,1.05673e-11,2.92204e-13,3.91445e-10,1.52399e-13,-4.08058e-12
-251.969,30.2362,1.16609e-10,2.37284e-15,5.41699e-15,1.4284e-13,1.14674e-11,2.83017e-13,3.87998e-10,1.47505e-13,-5.12693e-12
