i,j,r,theta,rho
7,18,2.56,0.565487,0
7,19,2.56,0.596903,0
7,20,2.56,0.628319,0
7,21,2.56,0.659734,0
7,22,2.56,0.69115,0
7,23,2.56,0.722566,0
7,24,2.56,0.753982,0
7,25,2.56,0.785398,0
7,26,2.56,0.816814,0
7,27,2.56,0.84823,0
7,28,2.56,0.879646,0
7,29,2.56,0.911062,0
7,30,2.56,0.942478,0
7,31,2.56,0.973894,0
7,32,2.56,1.00531,0
7,33,2.56,1.03673,0
7,34,2.56,1.06814,0
7,35,2.56,1.09956,0
7,36,2.56,1.13097,0
7,37,2.56,1.16239,0
7,38,2.56,1.19381,0
7,39,2.56,1.22522,0
7,40,2.56,1.25664,0
7,41,2.56,1.28805,0
7,42,2.56,1.31947,0
7,43,2.56,1.35088,0
7,44,2.56,1.3823,0
7,45,2.56,1.41372,0
7,46,2.56,1.44513,0
7,47,2.56,1.47655,0
7,48,2.56,1.50796,0
7,49,2.56,1.53938,0
7,50,2.56,1.5708,0
7,51,2.56,1.60221,0
7,52,2.56,1.63363,0
7,53,2.56,1.66504,0
7,54,2.56,1.69646,0
7,55,2.56,1.72788,0
7,56,2.56,1.75929,0
7,57,2.56,1.79071,0
7,58,2.56,1.82212,0
7,59,2.56,1.85354,0
7,60,2.56,1.88496,0
7,61,2.56,1.91637,0
7,62,2.56,1.94779,0
7,63,2.56,1.9792,0
7,64,2.56,2.01062,0
7,65,2.56,2.04204,0
7,66,2.56,2.07345,0
7,67,2.56,2.10487,0
7,68,2.56,2.13628,0
7,69,2.56,2.1677,0
7,70,2.56,2.19911,0
7,71,2.56,2.23053,0
7,72,2.56,2.26195,0
7,73,2.56,2.29336,0
7,74,2.56,2.32478,0
7,75,2.56,2.35619,0
7,76,2.56,2.38761,0
7,77,2.56,2.41903,0
7,78,2.56,2.45044,0
7,79,2.56,2.48186,0
7,80,2.56,2.51327,0
7,81,2.56,2.54469,0
7,82,2.56,2.57611,0
7,83,2.56,2.60752,0
7,84,2.56,2.63894,0
7,85,2.56,2.67035,0
7,86,2.56,2.70177,0
7,87,2.56,2.73319,0
7,88,2.56,2.7646,0
7,89,2.56,2.79602,0
7,90,2.56,2.82743,0
7,91,2.56,2.85885,0
7,92,2.56,2.89027,0
7,93,2.56,2.92168,0
7,94,2.56,2.9531,0
7,95,2.56,2.98451,0
7,96,2.56,3.01593,0
7,97,2.56,3.04734,0
7,98,2.56,3.07876,0
7,99,2.56,3.11018,0
7,100,2.56,3.14159,0
8,0,2.64,0,0
8,1,2.64,0.0314159,0
8,2,2.64,0.0628319,0
8,3,2.64,0.0942478,0
8,4,2.64,0.125664,0
8,5,2.64,0.15708,0
8,6,2.64,0.188496,0
8,7,2.64,0.219911,0
8,8,2.64,0.251327,0
8,9,2.64,0.282743,0
8,10,2.64,0.314159,0
8,11,2.64,0.345575,0
8,12,2.64,0.376991,0
8,13,2.64,0.408407,0
8,14,2.64,0.439823,0
8,15,2.64,0.471239,0
8,16,2.64,0.502655,0
8,17,2.64,0.534071,0
8,18,2.64,0.565487,0
8,19,2.64,0.596903,0
8,20,2.64,0.628319,0
8,21,2.64,0.659734,0
8,22,2.64,0.69115,0
8,23,2.64,0.722566,0
8,24,2.64,0.753982,0
8,25,2.64,0.785398,0
8,26,2.64,0.816814,0
8,27,2.64,0.84823,0
8,28,2.64,0.879646,0
8,29,2.64,0.911062,0
8,30,2.64,0.942478,0
8,31,2.64,0.973894,0
8,32,2.64,1.00531,0
8,33,2.64,1.03673,0
8,34,2.64,1.06814,0
8,35,2.64,1.09956,0
8,36,2.64,1.13097,0
8,37,2.64,1.16239,0
8,38,2.64,1.19381,0
8,39,2.64,1.22522,0
8,40,2.64,1.25664,0
8,41,2.64,1.28805,0
8,42,2.64,1.31947,0
8,43,2.64,1.35088,0
8,44,2.64,1.3823,0
8,45,2.64,1.41372,0
8,46,2.64,1.44513,0
8,47,2.64,1.47655,0
8,48,2.64,1.50796,0
8,49,2.64,1.53938,0
8,50,2.64,1.5708,0
8,51,2.64,1.60221,0
8,52,2.64,1.63363,0
8,53,2.64,1.66504,0
8,54,2.64,1.69646,0
8,55,2.64,1.72788,0
8,56,2.64,1.75929,0
8,57,2.64,1.79071,0
8,58,2.64,1.82212,0
8,59,2.64,1.85354,0
8,60,2.64,1.88496,0
8,61,2.64,1.91637,0
8,62,2.64,1.94779,0
8,63,2.64,1.9792,0
8,64,2.64,2.01062,0
8,65,2.64,2.04204,0
8,66,2.64,2.07345,0
8,67,2.64,2.10487,0
8,68,2.64,2.13628,0
8,69,2.64,2.1677,0
8,70,2.64,2.19911,0
8,71,2.64,2.23053,0
8,72,2.64,2.26195,0
8,73,2.64,2.29336,0
8,74,2.64,2.32478,0
8,75,2.64,2.35619,0
8,76,2.64,2.38761,0
8,77,2.64,2.41903,0
8,78,2.64,2.45044,0
8,79,2.64,2.48186,0
8,80,2.64,2.51327,0
8,81,2.64,2.54469,0
8,82,2.64,2.57611,0
8,83,2.64,2.60752,0
8,84,2.64,2.63894,0
8,85,2.64,2.67035,0
8,86,2.64,2.70177,0
8,87,2.64,2.73319,0
8,88,2.64,2.7646,0
8,89,2.64,2.79602,0
8,90,2.64,2.82743,0
8,91,2.64,2.85885,0
8,92,2.64,2.89027,0
8,93,2.64,2.92168,0
8,94,2.64,2.9531,0
8,95,2.64,2.98451,0
8,96,2.64,3.01593,0
8,97,2.64,3.04734,0
8,98,2.64,3.07876,0
8,99,2.64,3.11018,0
8,100,2.64,3.14159,0
9,0,2.72,0,0
9,1,2.72,0.0314159,0
9,2,2.72,0.0628319,0
9,3,2.72,0.0942478,0
9,4,2.72,0.125664,0
9,5,2.72,0.15708,0
9,6,2.72,0.188496,0
9,7,2.72,0.219911,0
9,8,2.72,0.251327,0
9,9,2.72,0.282743,0
9,10,2.72,0.314159,0
9,11,2.72,0.345575,0
9,12,2.72,0.376991,0
9,13,2.72,0.408407,0
9,14,2.72,0.439823,0
9,15,2.72,0.471239,0
9,16,2.72,0.502655,0
9,17,2.72,0.534071,0
9,18,2.72,0.565487,0
9,19,2.72,0.596903,0
9,20,2.72,0.628319,0
9,21,2.72,0.659734,0
9,22,2.72,0.69115,0
9,23,2.72,0.722566,0
9,24,2.72,0.753982,0
9,25,2.72,0.785398,0
9,26,2.72,0.816814,0
9,27,2.72,0.84823,0
9,28,2.72,0.879646,0
9,29,2.72,0.911062,0
9,30,2.72,0.942478,0
9,31,2.72,0.973894,0
9,32,2.72,1.00531,0
