x,z,alpha,beta0,beta1,beta2,d_alpha_dt,d_beta0_dt,d_beta1_dt,d_beta2_dt
-247.937,-78.6142,0.9937,0,0,0,-2.95176e-10,-0,-0,-0
-247.937,-74.5827,0.993745,0,0,0,-2.88916e-10,-0,-0,-0
-247.937,-70.5512,0.99379,0,0,0,-2.82743e-10,-0,-0,-0
-247.937,-66.5197,0.993835,0,0,0,-2.76661e-10,-0,-0,-0
-247.937,-62.4882,0.99388,0,0,0,-2.70672e-10,-0,-0,-0
-247.937,-58.4567,0.993925,0,0,0,-2.64778e-10,-0,-0,-0
-247.937,-54.4252,0.99397,0,0,0,-2.58982e-10,-0,-0,-0
-247.937,-50.3937,0.994015,0,0,0,-2.53285e-10,-0,-0,-0
-247.937,-46.3622,0.99406,0,0,0,-2.47689e-10,-0,-0,-0
-247.937,-42.3307,0.994104,0,0,0,-2.42195e-10,-0,-0,-0
-247.937,-38.2992,0.994149,0,0,0,-2.36804e-10,-0,-0,-0
-247.937,-34.2677,0.994193,0,0,0,-2.31516e-10,-0,-0,-0
-247.937,-30.2362,0.994237,0,0,0,-2.26332e-10,-0,-0,-0
-247.937,-26.2047,0.99428,0,0,0,-2.21251e-10,-0,-0,-0
-247.937,-22.1732,0.994324,0,0,0,-2.16274e-10,-0,-0,-0
-247.937,-18.1417,0.994367,0,0,0,-2.11401e-10,-0,-0,-0
-247.937,-14.1102,0.99441,0,0,0,-2.0663e-10,-0,-0,-0
-247.937,-10.0787,0.994452,0,0,0,-2.01961e-10,-0,-0,-0
-247.937,-6.04724,0.994495,0,0,0,-1.97394e-10,-0,-0,-0
-247.937,-2.01575,0.994537,0,0,0,-1.92928e-10,-0,-0,-0
-247.937,2.01575,0.994578,0,0,0,-1.88561e-10,-0,-0,-0
-247.937,6.04724,0.99462,0,0,0,-1.84292e-10,-0,-0,-0
-247.937,10.0787,0.994661,0,0,0,-1.8012e-10,-0,-0,-0
-247.937,14.1102,0.994702,0,0,0,-1.76045e-10,-0,-0,-0
-247.937,18.1417,0.994742,0,0,0,-1.72063e-10,-0,-0,-0
-247.937,22.1732,0.994782,0,0,0,-1.68175e-10,-0,-0,-0
-247.937,26.2047,0.994822,0,0,0,-1.64378e-10,-0,-0,-0
-247.937,30.2362,0.994861,0,0,0,-1.60671e-10,-0,-0,-0
-247.937,34.2677,0.9949,0,0,0,-1.57053e-10,-0,-0,-0
-247.937,38.2992,0.994939,0,0,0,-1.53521e-10,-0,-0,-0
-247.937,42.3307,0.994977,0,0,0,-1.50075e-10,-0,-0,-0
-247.937,46.3622,0.995015,0,0,0,-1.46712e-10,-0,-0,-0
-247.937,50.3937,0.995053,0,0,0,-1.4343e-10,-0,-0,-0
-247.937,54.4252,0.99509,0,0,0,-1.40229e-10,-0,-0,-0
-247.937,58.4567,0.995127,0,0,0,-1.37106e-10,-0,-0,-0
-247.937,62.4882,0.995163,0,0,0,-1.3406e-10,-0,-0,-0
-247.937,66.5197,0.995199,0,0,0,-1.31089e-10,-0,-0,-0
-247.937,70.5512,0.995235,0,0,0,-1.28191e-10,-0,-0,-0
-247.937,74.5827,0.99527,0,0,0,-1.25365e-10,-0,-0,-0
-247.937,78.6142,0.995305,0,0,0,-1.22609e-10,-0,-0,-0
-247.937,82.6457,0.99534,0,0,0,-1.19921e-10,-0,-0,-0
-247.937,86.6772,0.995374,0,0,0,-1.173e-10,-0,-0,-0
-247.937,90.7087,0.995408,0,0,0,-1.14745e-10,-0,-0,-0
-247.937,94.7402,0.995442,0,0,0,-1.12253e-10,-0,-0,-0
-247.937,98.7717,0.995475,0,0,0,-1.09823e-10,-0,-0,-0
-247.937,102.803,0.995508,0,0,0,-1.07453e-10,-0,-0,-0
-247.937,106.835,0.995541,0,0,0,-1.05143e-10,-0,-0,-0
-247.937,110.866,0.995573,0,0,0,-1.0289e-10,-0,-0,-0
-247.937,114.898,0.995605,0,0,0,-1.00693e-10,-0,-0,-0
-247.937,118.929,0.995636,0,0,0,-9.85509e-11,-0,-0,-0
-247.937,122.961,0.995667,0,0,0,-9.6462e-11,-0,-0,-0
-247.937,126.992,0.995698,0,0,0,-9.44251e-11,-0,-0,-0
-247.937,131.024,0.995728,0,0,0,-9.24387e-11,-0,-0,-0
-247.937,135.055,0.995759,0,0,0,-9.05016e-11,-0,-0,-0
-247.937,139.087,0.995788,0,0,0,-8.86124e-11,-0,-0,-0
-247.937,143.118,0.995818,0,0,0,-8.67699e-11,-0,-0,-0
-247.937,147.15,0.995847,0,0,0,-8.49729e-11,-0,-0,-0
-247.937,151.181,0.995876,0,0,0,-8.32202e-11,-0,-0,-0
-247.937,155.213,0.995904,0,0,0,-8.15107e-11,-0,-0,-0
-247.937,159.244,0.995933,0,0,0,-7.98431e-11,-0,-0,-0
-247.937,163.276,0.99596,0,0,0,-7.82163e-11,-0,-0,-0
-247.937,167.307,0.995988,0,0,0,-7.66294e-11,-0,-0,-0
-247.937,171.339,0.996015,0,0,0,-7.50812e-11,-0,-0,-0
-247.937,175.37,0.996042,0,0,0,-7.35706e-11,-0,-0,-0
-247.937,179.402,0.996069,0,0,0,-7.20968e-11,-0,-0,-0
-247.937,183.433,0.996095,0,0,0,-7.06586e-11,-0,-0,-0
-247.937,187.465,0.996122,0,0,0,-6.92552e-11,-0,-0,-0
-247.937,191.496,0.996147,0,0,0,-6.78857e-11,-0,-0,-0
-247.937,195.528,0.996173,0,0,0,-6.65491e-11,-0,-0,-0
-247.937,199.559,0.996198,0,0,0,-6.52445e-11,-0,-0,-0
-247.937,203.591,0.996223,0,0,0,-6.3971e-11,-0,-0,-0
-247.937,207.622,0.996248,0,0,0,-6.2728e-11,-0,-0,-0
-247.937,211.654,0.996272,0,0,0,-6.15145e-11,-0,-0,-0
-247.937,215.685,0.996296,0,0,0,-6.03297e-11,-0,-0,-0
-247.937,219.717,0.99632,0,0,0,-5.9173e-11,-0,-0,-0
-247.937,223.748,0.996344,0,0,0,-5.80434e-11,-0,-0,-0
-247.937,227.78,0.996367,0,0,0,-5.69404e-11,-0,-0,-0
-247.937,231.811,0.99639,0,0,0,-5.58632e-11,-0,-0,-0
-247.937,235.843,0.996413,0,0,0,-5.48112e-11,-0,-0,-0
