i,j,r,theta,Gamma3_0_0_0,Gamma3_0_0_1,Gamma3_0_0_2,Gamma3_0_1_0,Gamma3_0_1_1,Gamma3_0_1_2,Gamma3_0_2_0,Gamma3_0_2_1,Gamma3_0_2_2,Gamma3_1_0_0,Gamma3_1_0_1,Gamma3_1_0_2,Gamma3_1_1_0,Gamma3_1_1_1,Gamma3_1_1_2,Gamma3_1_2_0,Gamma3_1_2_1,Gamma3_1_2_2,Gamma3_2_0_0,Gamma3_2_0_1,Gamma3_2_0_2,Gamma3_2_1_0,Gamma3_2_1_1,Gamma3_2_1_2,Gamma3_2_2_0,Gamma3_2_2_1,Gamma3_2_2_2
1,16,2.08,0.502655,-0.697108,0.0690581,-0.0690581,-0.0690581,0.410417,0.410417,0.410417,0.410417,0.0939497,-0.0707273,0.420337,-0.420337,-0.420337,-0.0690581,-0.0690581,-0.0690581,-0.0690581,0.465447,0,0,0,0,0,0,0,0,0
1,17,2.08,0.534071,-0.695199,0.0719923,-0.0719923,-0.0719923,0.412242,0.412242,0.412242,0.412242,0.105166,-0.0737324,0.422206,-0.422206,-0.422206,-0.0719923,-0.0719923,-0.0719923,-0.0719923,0.488767,0,0,0,0,0,0,0,0,0
1,18,2.08,0.565487,-0.693204,0.074679,-0.074679,-0.074679,0.414147,0.414147,0.414147,0.414147,0.116833,-0.076484,0.424157,-0.424157,-0.424157,-0.074679,-0.074679,-0.074679,-0.074679,0.510865,0,0,0,0,0,0,0,0,0
1,19,2.08,0.596903,-0.691131,0.0771053,-0.0771053,-0.0771053,0.416129,0.416129,0.416129,0.416129,0.128908,-0.078969,0.426187,-0.426187,-0.426187,-0.0771053,-0.0771053,-0.0771053,-0.0771053,0.531623,0,0,0,0,0,0,0,0,0
1,20,2.08,0.628319,-0.688985,0.0792588,-0.0792588,-0.0792588,0.41818,0.41818,0.41818,0.41818,0.141348,-0.0811745,0.428287,-0.428287,-0.428287,-0.0792588,-0.0792588,-0.0792588,-0.0792588,0.550919,0,0,0,0,0,0,0,0,0
1,21,2.08,0.659734,-0.686772,0.0811276,-0.0811276,-0.0811276,0.420294,0.420294,0.420294,0.420294,0.154105,-0.0830885,0.430453,-0.430453,-0.430453,-0.0811276,-0.0811276,-0.0811276,-0.0811276,0.568626,0,0,0,0,0,0,0,0,0
1,22,2.08,0.69115,-0.684501,0.0827004,-0.0827004,-0.0827004,0.422465,0.422465,0.422465,0.422465,0.16713,-0.0846993,0.432676,-0.432676,-0.432676,-0.0827004,-0.0827004,-0.0827004,-0.0827004,0.584611,0,0,0,0,0,0,0,0,0
1,23,2.08,0.722566,-0.682178,0.0839667,-0.0839667,-0.0839667,0.424685,0.424685,0.424685,0.424685,0.180373,-0.0859962,0.43495,-0.43495,-0.43495,-0.0839667,-0.0839667,-0.0839667,-0.0839667,0.598741,0,0,0,0,0,0,0,0,0
1,24,2.08,0.753982,-0.679811,0.0849168,-0.0849168,-0.0849168,0.426947,0.426947,0.426947,0.426947,0.193779,-0.0869693,0.437266,-0.437266,-0.437266,-0.0849168,-0.0849168,-0.0849168,-0.0849168,0.610879,0,0,0,0,0,0,0,0,0
1,25,2.08,0.785398,-0.67741,0.085542,-0.085542,-0.085542,0.429241,0.429241,0.429241,0.429241,0.207296,-0.0876096,0.439616,-0.439616,-0.439616,-0.085542,-0.085542,-0.085542,-0.085542,0.620887,0,0,0,0,0,0,0,0,0
1,26,2.08,0.816814,-0.674983,0.0858346,-0.0858346,-0.0858346,0.431561,0.431561,0.431561,0.431561,0.220866,-0.0879092,0.441992,-0.441992,-0.441992,-0.0858346,-0.0858346,-0.0858346,-0.0858346,0.62863,0,0,0,0,0,0,0,0,0
1,27,2.08,0.84823,-0.672539,0.0857879,-0.0857879,-0.0857879,0.433896,0.433896,0.433896,0.433896,0.234433,-0.0878614,0.444384,-0.444384,-0.444384,-0.0857879,-0.0857879,-0.0857879,-0.0857879,0.633973,0,0,0,0,0,0,0,0,0
1,28,2.08,0.879646,-0.670088,0.0853966,-0.0853966,-0.0853966,0.436238,0.436238,0.436238,0.436238,0.247939,-0.0874606,0.446782,-0.446782,-0.446782,-0.0853966,-0.0853966,-0.0853966,-0.0853966,0.636786,0,0,0,0,0,0,0,0,0
