x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-159.244,-94.7402,8.17177,-5.83432e-07,8.02034e-06,-4.17654e-07,8.17175,-3.28188e-08,2.28649e-07,-3.28177e-08,8.17175
-159.244,-90.7087,8.32057,-5.51856e-07,7.55399e-06,-3.90723e-07,8.32055,1.9271e-09,3.02858e-07,1.92812e-09,8.32055
-159.244,-86.6772,8.46962,-5.17021e-07,7.09607e-06,-3.60589e-07,8.46959,3.76963e-08,3.69395e-07,3.76972e-08,8.46959
-159.244,-82.6457,8.61844,-4.79121e-07,6.64846e-06,-3.27424e-07,8.61842,7.41199e-08,4.28754e-07,7.41208e-08,8.61842
-159.244,-78.6142,8.76655,-4.38432e-07,6.21291e-06,-2.91474e-07,8.76652,1.10794e-07,4.81456e-07,1.10794e-07,8.76653
-159.244,-74.5827,8.9134,-3.95306e-07,5.79098e-06,-2.53066e-07,8.91337,1.47286e-07,5.28015e-07,1.47287e-07,8.91338
-159.244,-70.5512,9.0584,-3.50177e-07,5.38398e-06,-2.12605e-07,9.05838,1.83148e-07,5.68902e-07,1.83149e-07,9.05838
-159.244,-66.5197,9.20095,-3.03554e-07,4.99296e-06,-1.70573e-07,9.20092,2.17927e-07,6.04508e-07,2.17928e-07,9.20092
-159.244,-62.4882,9.34037,-2.56018e-07,4.61858e-06,-1.27521e-07,9.34034,2.5118e-07,6.35116e-07,2.51181e-07,9.34034
-159.244,-58.4567,9.47598,-2.0821e-07,4.26118e-06,-8.40636e-08,9.47596,2.82486e-07,6.60867e-07,2.82486e-07,9.47596
-159.244,-54.4252,9.60708,-1.60821e-07,3.92066e-06,-4.08632e-08,9.60705,3.11462e-07,6.8174e-07,3.11462e-07,9.60705
-159.244,-50.3937,9.73293,-1.14574e-07,3.59651e-06,1.38269e-09,9.7329,3.37778e-07,6.97545e-07,3.37778e-07,9.7329
-159.244,-46.3622,9.85279,-7.02075e-08,3.28781e-06,4.19601e-08,9.85277,3.61168e-07,7.07922e-07,3.61168e-07,9.85277
-159.244,-42.3307,9.96593,-2.84558e-08,2.99328e-06,8.01583e-08,9.9659,3.81442e-07,7.1236e-07,3.81442e-07,9.9659
-159.244,-38.2992,10.0716,9.97312e-09,2.71127e-06,1.15291e-07,10.0716,3.9849e-07,7.10221e-07,3.9849e-07,10.0716
-159.244,-34.2677,10.1691,4.44186e-08,2.43985e-06,1.46716e-07,10.1691,4.12292e-07,7.00786e-07,4.12292e-07,10.1691
-159.244,-30.2362,10.2577,7.42884e-08,2.17687e-06,1.73859e-07,10.2577,4.22912e-07,6.83306e-07,4.22912e-07,10.2577
-159.244,-26.2047,10.3369,9.90785e-08,1.92006e-06,1.96231e-07,10.3368,4.30498e-07,6.57065e-07,4.30498e-07,10.3368
-159.244,-22.1732,10.4059,1.1839e-07,1.66707e-06,2.13447e-07,10.4058,4.35273e-07,6.21441e-07,4.35273e-07,10.4058
-159.244,-18.1417,10.4643,1.31944e-07,1.41562e-06,2.25238e-07,10.4642,4.37522e-07,5.75974e-07,4.37522e-07,10.4642
-159.244,-14.1102,10.5115,1.3959e-07,1.16354e-06,2.31463e-07,10.5115,4.37581e-07,5.20419e-07,4.37581e-07,10.5115
-159.244,-10.0787,10.5474,1.41315e-07,9.08816e-07,2.32117e-07,10.5473,4.35817e-07,4.54806e-07,4.35817e-07,10.5473
-159.244,-6.04724,10.5714,1.37245e-07,6.49721e-07,2.27329e-07,10.5714,4.32614e-07,3.79466e-07,4.32614e-07,10.5714
-159.244,-2.01575,10.5835,1.27637e-07,3.84791e-07,2.17362e-07,10.5834,4.28353e-07,2.95065e-07,4.28353e-07,10.5834
-159.244,2.01575,10.5835,1.12878e-07,1.12878e-07,2.02604e-07,10.5834,4.23393e-07,2.02604e-07,4.23393e-07,10.5834
